day after tomorrow	ngày kia
legal	hợp pháp
illegal	bất hợp pháp
normal	bình thường
abnormal	bất thường
positive	tích cực
negative	tiêu cực
relative	tương đối
absolute	tuyệt đối
temporary	tạm thời
permanent	vĩnh viễn
frequent	thường xuyên
rare	hiếm
common	phổ biến
unique	độc đáo
similar	tương tự
opposite	đối lập
equal	bằng
unequal	không bằng
increase	tăng
decrease	giảm
progress	tiến bộ
decline	suy giảm
success	thành công
failure	thất bại
advantage	lợi thế
disadvantage	bất lợi
profit	lợi nhuận
loss	thiệt hại
income	thu nhập
expense	chi phí
salary	lương
tax	thuế
budget	ngân sách
debt	nợ
loan	khoản vay
investment	đầu tư
stock	cổ phiếu
company	công ty
factory	nhà máy
product	sản phẩm
consumer	người tiêu dùng
customer	khách hàng
employee	nhân viên
employer	người sử dụng lao động
unemployment	thất nghiệp
retirement	nghỉ hưu
promotion	thăng chức
application	đơn xin / ứng dụng
document	tài liệu
signature	chữ ký
permission	sự cho phép
prohibition	sự cấm
obligation	nghĩa vụ
right	quyền / đúng
duty	nghĩa vụ
responsibility	trách nhiệm
authority	thẩm quyền
government	chính phủ
nation	quốc gia
citizen	công dân
election	bầu cử
vote	phiếu bầu
candidate	ứng cử viên
party	đảng / buổi tiệc
policy	chính sách
reform	cải cách
revolution	cách mạng
peace	hòa bình
war	chiến tranh
army	quân đội
weapon	vũ khí
crime	tội phạm
punishment	hình phạt
trial	phiên tòa
judge	thẩm phán
lawyer	luật sư
evidence	bằng chứng
victim	nạn nhân
witness	nhân chứng
environment	môi trường
pollution	ô nhiễm
nature	thiên nhiên
resource	tài nguyên
energy	năng lượng
climate	khí hậu
temperature	nhiệt độ
pressure	áp suất
experiment	thí nghiệm
discovery	phát hiện
invention	phát minh
technology	công nghệ
machine	máy móc
equipment	thiết bị
material	vật liệu
structure	cấu trúc
function	chức năng
effect	hiệu ứng / ảnh hưởng
influence	ảnh hưởng
cause	nguyên nhân
result	kết quả
purpose	mục đích
method	phương pháp
process	quá trình
stage	giai đoạn
level	cấp độ
degree	mức độ / bằng cấp
amount	số lượng
number	số
rate	tỷ lệ
ratio	tỉ số
percent	phần trăm
total	tổng
average	trung bình
maximum	tối đa
minimum	tối thiểu
limit	giới hạn
range	phạm vi
scale	quy mô
size	kích thước
weight	trọng lượng
speed	tốc độ
distance	khoảng cách
direction	hướng
position	vị trí
location	địa điểm
region	vùng
district	quận
capital	thủ đô
border	biên giới
population	dân số
generation	thế hệ
age	tuổi / thời đại
gender	giới tính
marriage	hôn nhân
divorce	ly hôn
birth	sự sinh
death	cái chết
life	cuộc sống
health	sức khỏe
disease	bệnh tật
treatment	điều trị
surgery	phẫu thuật
patient	bệnh nhân
doctor	bác sĩ
nurse	y tá
hospital	bệnh viện
clinic	phòng khám
medicine	thuốc
symptom	triệu chứng
prevention	phòng ngừa
nutrition	dinh dưỡng
exercise	tập luyện
habit	thói quen
attitude	thái độ
emotion	cảm xúc
feeling	cảm giác
mind	tâm trí
memory	trí nhớ
attention	sự chú ý
interest	sự quan tâm
will	ý chí
hope	hy vọng
fear	nỗi sợ
anger	cơn giận
joy	niềm vui
sorrow	nỗi buồn
love	tình yêu
hate	sự ghét
trust	lòng tin
doubt	sự nghi ngờ
courage	dũng khí
effort	nỗ lực
patience	sự kiên nhẫn
honesty	sự trung thực
kindness	lòng tốt
politeness	sự lịch sự
respect	sự tôn trọng
pride	niềm tự hào
shame	xấu hổ
confidence	sự tự tin
anxiety	lo âu
stress	căng thẳng
relief	sự nhẹ nhõm
satisfaction	sự hài lòng
disappointment	thất vọng
surprise	sự ngạc nhiên
curiosity	sự tò mò
imagination	trí tưởng tượng
creativity	sự sáng tạo
intelligence	trí tuệ
ability	khả năng
skill	kỹ năng
talent	tài năng
knowledge	kiến thức
wisdom	trí tuệ
experience	kinh nghiệm
education	giáo dục
learning	sự học
teaching	sự dạy
research	nghiên cứu
study	nghiên cứu / học
theory	lý thuyết
fact	sự thật
data	dữ liệu
analysis	phân tích
conclusion	kết luận
opinion	ý kiến
argument	lập luận
debate	tranh luận
criticism	phê bình
praise	lời khen
advice	lời khuyên
suggestion	đề xuất
proposal	đề nghị
decision	quyết định
choice	sự lựa chọn
judgment	phán đoán
mistake	sai lầm
correction	sửa chữa
improvement	cải thiện
development	phát triển
growth	sự tăng trưởng
change	thay đổi
reform	cải cách
innovation	đổi mới
tradition	truyền thống
custom	phong tục
culture	văn hóa
religion	tôn giáo
belief	niềm tin
ceremony	nghi lễ
festival	lễ hội
art	nghệ thuật
music	âm nhạc
literature	văn học
poetry	thơ
novel	tiểu thuyết
film	phim
theater	nhà hát
sports	thể thao
game	trò chơi
hobby	sở thích
travel	du lịch
vacation	kỳ nghỉ
leisure	thời gian rảnh
entertainment	giải trí
communication	giao tiếp
language	ngôn ngữ
conversation	hội thoại
speech	bài phát biểu
expression	cách diễn đạt
meaning	ý nghĩa
translation	dịch
media	truyền thông
newspaper	báo
magazine	tạp chí
broadcast	phát sóng
internet	mạng
computer	máy tính
software	phần mềm
hardware	phần cứng
data	dữ liệu
file	tệp
password	mật khẩu
account	tài khoản
network	mạng lưới
security	an ninh
privacy	riêng tư
risk	rủi ro
danger	nguy hiểm
safety	an toàn
accident	tai nạn
disaster	thảm họa
emergency	tình huống khẩn cấp
rescue	cứu hộ
help	sự giúp đỡ
support	hỗ trợ
cooperation	hợp tác
competition	cạnh tranh
conflict	xung đột
peace	hòa bình
harmony	hòa hợp
balance	cân bằng
stability	ổn định
crisis	khủng hoảng
solution	giải pháp
problem	vấn đề
issue	vấn đề
question	câu hỏi
answer	câu trả lời
explanation	giải thích
definition	định nghĩa
example	ví dụ
exception	ngoại lệ
rule	quy tắc
law	luật
principle	nguyên lý
standard	tiêu chuẩn
condition	điều kiện
requirement	yêu cầu
restriction	hạn chế
freedom	tự do
equality	bình đẳng
justice	công lý
human rights	nhân quyền
democracy	dân chủ
society	xã hội
community	cộng đồng
family	gia đình
friendship	tình bạn
relationship	mối quan hệ
role	vai trò
status	địa vị
identity	bản sắc
personality	tính cách
behavior	hành vi
action	hành động
activity	hoạt động
event	sự kiện
occasion	dịp
opportunity	cơ hội
challenge	thách thức
goal	mục tiêu
purpose	mục đích
plan	kế hoạch
strategy	chiến lược
schedule	lịch trình
deadline	hạn chót
priority	ưu tiên
task	nhiệm vụ
project	dự án
result	kết quả
achievement	thành tựu
contribution	đóng góp
influence	ảnh hưởng
impact	tác động
effect	hiệu quả
benefit	lợi ích
harm	tác hại
damage	thiệt hại
loss	mất mát
gain	thu được
success	thành công
failure	thất bại
effort	nỗ lực
attempt	nỗ lực thử
trial	thử nghiệm
test	bài kiểm tra
exam	kỳ thi
score	điểm số
grade	điểm / khối
level	cấp
rank	hạng
title	chức danh / tiêu đề
name	tên
word	từ
sentence	câu
paragraph	đoạn
chapter	chương
article	bài viết
book	sách
page	trang
letter	thư / chữ cái
note	ghi chú
message	tin nhắn
notice	thông báo
announcement	thông cáo
news	tin tức
rumor	tin đồn
truth	sự thật
lie	lời nói dối
secret	bí mật
topic	chủ đề
theme	chủ đề
content	nội dung
detail	chi tiết
summary	tóm tắt
outline	dàn ý
point	điểm
view	quan điểm
perspective	góc nhìn
attitude	thái độ
position	lập trường
stance	lập trường
claim	tuyên bố
statement	phát biểu
remark	nhận xét
comment	bình luận
feedback	phản hồi
review	đánh giá
evaluation	đánh giá
assessment	thẩm định
analysis	phân tích
research	nghiên cứu
survey	khảo sát
statistics	thống kê
percentage	tỷ lệ phần trăm
majority	đa số
minority	thiểu số
trend	xu hướng
pattern	khuôn mẫu
feature	đặc điểm
characteristic	đặc trưng
property	tính chất / tài sản
attribute	thuộc tính
aspect	khía cạnh
element	yếu tố
factor	nhân tố
component	thành phần
part	phần
whole	toàn bộ
unit	đơn vị
set	tập hợp
pair	cặp
series	chuỗi
list	danh sách
collection	bộ sưu tập
group	nhóm
team	đội
organization	tổ chức
institution	cơ chế / học viện
agency	cơ quan
department	phòng ban
section	bộ phận
branch	chi nhánh
headquarters	trụ sở
office	văn phòng
staff	nhân viên
member	thành viên
leader	lãnh đạo
manager	quản lý
director	giám đốc
president	chủ tịch
representative	đại diện
expert	chuyên gia
specialist	chuyên viên
professional	chuyên nghiệp
amateur	nghiệp dư
beginner	người mới
advanced	nâng cao
basic	cơ bản
complex	phức tạp
simple	đơn giản
clear	rõ
vague	mơ hồ
obvious	rõ ràng
hidden	ẩn
visible	nhìn thấy được
invisible	không nhìn thấy
possible	có thể
impossible	không thể
probable	có khả năng
certain	chắc chắn
uncertain	không chắc
necessary	cần thiết
unnecessary	không cần
important	quan trọng
trivial	tầm thường
serious	nghiêm trọng
slight	nhẹ
severe	nghiêm trọng
mild	nhẹ
strong	mạnh
weak	yếu
hard	khó / cứng
soft	mềm
tight	chặt
loose	lỏng
thick	dày
thin	mỏng
wide	rộng
narrow	hẹp
deep	sâu
shallow	nông
high	cao
low	thấp
long	dài
short	ngắn
large	lớn
small	nhỏ
huge	khổng lồ
tiny	bé xíu
heavy	nặng
light	nhẹ
fast	nhanh
slow	chậm
early	sớm
late	muộn
old	cũ / già
new	mới
young	trẻ
ancient	cổ xưa
modern	hiện đại
traditional	truyền thống
recent	gần đây
current	hiện tại
former	trước đây
future	tương lai
past	quá khứ
present	hiện tại
daily	hàng ngày
weekly	hàng tuần
monthly	hàng tháng
annual	hàng năm
regular	thường xuyên
irregular	không đều
occasional	thỉnh thoảng
constant	liên tục
sudden	đột ngột
gradual	dần dần
immediate	ngay lập tức
eventual	cuối cùng
previous	trước đó
following	tiếp theo
next	kế tiếp
last	cuối / trước
first	đầu tiên
final	cuối cùng
initial	ban đầu
original	gốc
copy	bản sao
fake	giả
real	thật
true	đúng
false	sai
correct	chính xác
incorrect	không chính xác
accurate	chính xác
rough	xấp xỉ / thô
exact	chính xác
approximate	xấp xỉ
complete	hoàn chỉnh
incomplete	chưa hoàn chỉnh
whole	toàn bộ
partial	một phần
total	tổng cộng
empty	trống
full	đầy
open	mở
closed	đóng
free	tự do / miễn phí
busy	bận
available	có sẵn
occupied	đang bị chiếm
vacant	còn trống
ready	sẵn sàng
unprepared	chưa chuẩn bị
able	có khả năng
unable	không thể
willing	sẵn lòng
reluctant	miễn cưỡng
eager	háo hức
lazy	lười
active	năng động
passive	thụ động
positive	tích cực
negative	tiêu cực
optimistic	lạc quan
pessimistic	bi quan
happy	vui
sad	buồn
angry	tức
afraid	sợ
calm	bình tĩnh
excited	hào hứng
bored	chán
interested	hứng thú
tired	mệt
energetic	tràn năng lượng
healthy	khỏe
sick	ốm
dead	chết
alive	còn sống
human	con người
natural	tự nhiên
artificial	nhân tạo
physical	thể chất
mental	tinh thần
emotional	cảm xúc
social	xã hội
political	chính trị
economic	kinh tế
cultural	văn hóa
historical	lịch sử
scientific	khoa học
technical	kỹ thuật
practical	thực tế
theoretical	lý thuyết
academic	học thuật
official	chính thức
personal	cá nhân
public	công cộng
domestic	trong nước
foreign	nước ngoài
international	quốc tế
global	toàn cầu
local	địa phương
national	quốc gia
regional	khu vực
urban	đô thị
rural	nông thôn
industrial	công nghiệp
agricultural	nông nghiệp
commercial	thương mại
financial	tài chính
legal	pháp lý
medical	y tế
educational	giáo dục
environmental	môi trường
to consider	cân nhắc
to include	bao gồm
to exclude	loại trừ
to consist	bao gồm
to contain	chứa
to provide	cung cấp
to obtain	có được
to maintain	duy trì
to establish	thành lập
to develop	phát triển
to improve	cải thiện
to reduce	giảm
to increase	tăng
to prevent	ngăn chặn
to protect	bảo vệ
to destroy	phá hủy
to create	tạo ra
to produce	sản xuất
to consume	tiêu thụ
to require	đòi hỏi
to allow	cho phép
to forbid	cấm
to force	bắt buộc
to encourage	khuyến khích
to avoid	tránh
to depend	phụ thuộc
to relate	liên quan
to represent	đại diện
to indicate	chỉ ra
to suggest	gợi ý
to imply	ám chỉ
to express	bày tỏ
to describe	miêu tả
to explain	giải thích
to define	định nghĩa
to prove	chứng minh
to assume	giả định
to expect	mong đợi
to hope	hy vọng
to fear	sợ
to doubt	nghi ngờ
to believe	tin
to realize	nhận ra
to recognize	công nhận
to notice	để ý
to observe	quan sát
to examine	xem xét
to investigate	điều tra
to analyze	phân tích
to evaluate	đánh giá
to judge	phán đoán
to decide	quyết định
to choose	chọn
to prefer	thích hơn
to refuse	từ chối
to accept	chấp nhận
to agree	đồng ý
to disagree	không đồng ý
to argue	tranh luận
to discuss	thảo luận
to mention	đề cập
to refer	tham chiếu
to quote	trích dẫn
to publish	xuất bản
to announce	công bố
to declare	tuyên bố
to claim	khẳng định
to insist	nài nỉ / khăng khăng
to demand	đòi hỏi
to request	yêu cầu
to order	ra lệnh / đặt
to command	chỉ huy
to control	kiểm soát
to manage	quản lý
to organize	tổ chức
to arrange	sắp xếp
to prepare	chuẩn bị
to perform	thực hiện
to achieve	đạt được
to fail	thất bại
to succeed	thành công
to attempt	cố gắng
to try	thử
to continue	tiếp tục
to stop	dừng
to start	bắt đầu
to finish	kết thúc
to delay	trì hoãn
to postpone	hoãn
to cancel	hủy
to replace	thay thế
to repair	sửa
to break	làm hỏng
to damage	làm hư
to injure	làm bị thương
to heal	chữa lành
to save	cứu / tiết kiệm
to waste	lãng phí
to spend	chi tiêu
to earn	kiếm
to pay	trả
to borrow	mượn
to lend	cho mượn
to invest	đầu tư
to tax	đánh thuế
to elect	bầu
to vote	bỏ phiếu
to govern	cai trị
to rule	cai trị
to obey	tuân theo
to violate	vi phạm
to punish	trừng phạt
to arrest	bắt
to release	thả
to escape	trốn
to hide	trốn / giấu
to reveal	tiết lộ
to conceal	che giấu
to search	tìm kiếm
to find	tìm thấy
to lose	mất
to keep	giữ
to hold	cầm
to carry	mang
to send	gửi
to receive	nhận
to deliver	giao
to collect	thu thập
to gather	tụ họp
to separate	tách
to connect	kết nối
to combine	kết hợp
to mix	trộn
to divide	chia
to share	chia sẻ
to join	tham gia
to leave	rời
to enter	vào
to exit	ra
to return	trở về
to remain	còn lại
to exist	tồn tại
to occur	xảy ra
to happen	xảy ra
to cause	gây ra
to result	dẫn đến
to affect	ảnh hưởng
to influence	tác động
to contribute	đóng góp
to participate	tham gia
to attend	tham dự
to belong	thuộc về
to own	sở hữu
to possess	sở hữu
to lack	thiếu
to need	cần
to want	muốn
to wish	ước
to intend	dự định
to plan	lên kế hoạch
to design	thiết kế
to invent	phát minh
to discover	phát hiện
to explore	khám phá
to research	nghiên cứu
to study	học
to learn	học được
to teach	dạy
to train	đào tạo
to practice	luyện
to review	ôn
to memorize	ghi nhớ
to forget	quên
to remember	nhớ
to understand	hiểu
to misunderstand	hiểu nhầm
to know	biết
to ignore	phớt lờ
to notice	nhận thấy
to focus	tập trung
to concentrate	tập trung
to distract	làm phân tâm
to confuse	gây nhầm lẫn
to clarify	làm rõ
to summarize	tóm tắt
to translate	dịch
to interpret	phiên dịch / giải thích
to communicate	giao tiếp
to speak	nói
to talk	nói chuyện
to whisper	thì thầm
to shout	hét
to cry	khóc
to laugh	cười
to smile	mỉm cười
to greet	chào
to thank	cảm ơn
to apologize	xin lỗi
to congratulate	chúc mừng
to invite	mời
to welcome	chào đón
to introduce	giới thiệu
to recommend	giới thiệu / khuyên
to warn	cảnh báo
to threaten	đe dọa
to promise	hứa
to swear	thề
to complain	phàn nàn
to praise	khen
to criticize	phê bình
to blame	đổ lỗi
to forgive	tha thứ
to trust	tin tưởng
to betray	phản bội
to help	giúp
to support	ủng hộ
to oppose	phản đối
to fight	đánh nhau
to attack	tấn công
to defend	bảo vệ
to protect	bảo vệ
to rescue	cứu
to injure	làm bị thương
to kill	giết
to die	chết
to live	sống
to survive	sống sót
to grow	lớn lên
to age	già đi
to marry	kết hôn
to divorce	ly hôn
to raise	nuôi
to adopt	nhận nuôi
to inherit	thừa kế
to retire	nghỉ hưu
to hire	thuê
to fire	sa thải
to resign	từ chức
to apply	nộp đơn / áp dụng
to employ	tuyển dụng
to work	làm việc
to commute	đi làm
to overtime	làm thêm giờ
to rest	nghỉ
to sleep	ngủ
to wake	thức
to eat	ăn
to drink	uống
to cook	nấu
to taste	nếm
to smell	ngửi
to touch	chạm
to see	thấy
to look	nhìn
to watch	xem
to listen	lắng nghe
to hear	nghe
to feel	cảm thấy
to seem	dường như
to appear	xuất hiện
to disappear	biến mất
to show	cho xem
to hide	giấu
to open	mở
to close	đóng
to lock	khóa
to unlock	mở khóa
to turn	quay
to push	đẩy
to pull	kéo
to lift	nâng
to drop	thả rơi
to throw	ném
to catch	bắt
to hit	đánh
to kick	đá
to cut	cắt
to break	làm vỡ
to fix	sửa
to clean	dọn
to wash	rửa
to dry	làm khô
to wet	làm ướt
to fill	làm đầy
to empty	làm trống
to pour	rót
to mix	trộn
to boil	đun
to fry	rán
to bake	nướng
to steam	hấp
to freeze	đông lạnh
to melt	tan
to burn	đốt
to shine	chiếu
to rain	mưa
to snow	tuyết rơi
to blow	thổi
to flow	chảy
to sink	chìm
to float	nổi
to fly	bay
to swim	bơi
to walk	đi bộ
to run	chạy
to jump	nhảy
to climb	leo
to fall	ngã / rơi
to sit	ngồi
to stand	đứng
to lie	nằm
to bow	cúi chào
to wave	vẫy
to point	chỉ
to nod	gật
to shake	lắc
to hug	ôm
to kiss	hôn
to hold	ôm / cầm
to carry	mang
to wear	mặc
to take off	cởi
to put on	mặc vào
to dress	mặc quần áo
to undress	cởi quần áo
to pack	đóng gói
to unpack	mở đồ
to travel	du lịch
to depart	khởi hành
to arrive	đến
to board	lên tàu
to get off	xuống
to transfer	chuyển
to miss	lỡ / nhớ
to delay	trễ
to cancel	hủy
to reserve	đặt trước
to book	đặt
to check in	làm thủ tục
to check out	trả phòng
to stay	ở lại
to visit	thăm
to tour	tham quan
to guide	hướng dẫn
to lose one's way	lạc đường
to ask the way	hỏi đường
well	tốt / nào
perhaps	có lẽ
anyway	dù sao
meanwhile	trong lúc đó
therefore	do đó
however	tuy nhiên
moreover	hơn nữa
otherwise	nếu không
instead	thay vào đó
besides	ngoài ra
although	mặc dù
unless	trừ khi
until	cho đến khi
since	kể từ khi
while	trong khi
during	trong suốt
after	sau
before	trước
among	trong số
between	giữa
through	xuyên qua
toward	hướng tới
against	chống lại
according	theo
despite	bất chấp
regarding	về
concerning	liên quan đến
including	bao gồm
excluding	không kể
except	ngoại trừ
beyond	vượt quá
within	trong phạm vi
without	không có
via	qua
per	mỗi
versus	so với
etc	vân vân
i.e.	tức là
e.g.	ví dụ
namely	cụ thể là
especially	đặc biệt là
particularly	đặc biệt
mainly	chủ yếu
mostly	phần lớn
partly	một phần
almost	gần như
nearly	gần như
about	khoảng
around	xung quanh
approximately	xấp xỉ
exactly	chính xác
just	chỉ / vừa
only	chỉ
even	thậm chí
also	cũng
too	cũng
either	cũng (phủ định)
neither	cũng không
both	cả hai
all	tất cả
every	mỗi
each	từng
any	bất kỳ
some	một số
several	vài
many	nhiều
much	nhiều
few	ít
little	ít
more	nhiều hơn
less	ít hơn
most	nhiều nhất
least	ít nhất
enough	đủ
too much	quá nhiều
so	vậy / đến nỗi
such	như vậy
quite	khá
rather	khá
pretty	khá
very	rất
extremely	cực kỳ
highly	rất
deeply	sâu sắc
slightly	hơi
somewhat	phần nào
hardly	hầu như không
barely	vừa đủ
scarcely	hiếm khi
seldom	hiếm khi
rarely	hiếm
often	thường
usually	thường thường
normally	bình thường
generally	nói chung
typically	điển hình
always	luôn
never	không bao giờ
sometimes	thỉnh thoảng
occasionally	thỉnh thoảng
frequently	thường xuyên
constantly	liên tục
suddenly	đột nhiên
gradually	dần dần
immediately	ngay
eventually	cuối cùng
finally	cuối cùng
recently	gần đây
currently	hiện nay
previously	trước đây
formerly	trước kia
later	sau này
soon	sớm
already	đã
still	vẫn
yet	vẫn chưa
again	lại
once	một lần
twice	hai lần
ago	trước đây
hence	do đó
thus	như vậy
therefore	vì vậy
accordingly	theo đó
consequently	do đó
nevertheless	dù vậy
nonetheless	dù vậy
meanwhile	đồng thời
furthermore	hơn nữa
additionally	thêm vào đó
similarly	tương tự
likewise	cũng vậy
instead	thay vì
rather	thà là
whether	liệu
whereas	trong khi
whereby	nhờ đó
thereby	nhờ đó
thereafter	sau đó
 heretofore	cho đến nay
hitherto	cho đến nay
albeit	dù
lest	kẻo
insofar	trong chừng mực
inasmuch	vì
viz	tức là
cf	so sánh
nb	lưu ý
ps	tái bút
vs	so với
approx	xấp xỉ
max	tối đa
min	tối thiểu
avg	trung bình
qty	số lượng
amt	số tiền
no.	số
vol	tập
ed	tái bản
rev	sửa đổi
fig	hình
tab	bảng
ref	tham chiếu
src	nguồn
dst	đích
org	tổ chức
gov	chính phủ
edu	giáo dục
com	thương mại
net	mạng
info	thông tin
id	danh tính
ok	được
ng	không tốt
yes	có
no	không
maybe	có lẽ
please	xin hãy
thanks	cảm ơn
sorry	xin lỗi
hello	xin chào
goodbye	tạm biệt
excuse me	xin lỗi
congratulations	chúc mừng
good luck	chúc may mắn
take care	bảo trọng
see you	hẹn gặp lại
welcome	hoan nghênh
how many	bao nhiêu
how old	bao nhiêu tuổi
how much	bao nhiêu tiền
in what way	bằng cách nào
exercise book	vở bài tập
the rest	phần còn lại
older brother	anh trai
older sister	chị gái
younger sister	em gái
younger brother	em trai
father	bố
mother	mẹ
wife	vợ
husband	chồng
to shower	tắm
to bathe	tắm
soap	xà phòng
stature	tầm vóc
matter	việc
engine	động cơ
card	thẻ
precisely	chính xác
captain	đội trưởng
camp	trại
classic	cổ điển
cream	kem
christmas	Giáng sinh
case	trường hợp
miser	keo kiệt
coach	huấn luyện viên
accelerator	bàn đạp ga
showy	lòe loẹt
to sneer at	chế nhạo
easily	dễ dàng
up	lên
approach	tiếp cận
approach (in golf)	cách đánh tiếp cận
oh	ồ
arab	Ả Rập
lose heart	nản lòng
over	kết thúc / bên kia
luck	may mắn
to spill	làm đổ
nursing	điều dưỡng
square	vuông / quảng trường
fight	cuộc đánh nhau
aim	mục tiêu
field	cánh đồng / lĩnh vực
sign	dấu hiệu / biển
consent	đồng ý
prize	giải thưởng
feast	bữa tiệc
pipe	ống
ball	quả bóng
cut	cắt
end	kết thúc
code	mã
sisters	chị em
date	ngày / buổi hẹn
top	đỉnh
abuse	lạm dụng
king	vua
control	kiểm soát
relation	quan hệ
term	thuật ngữ / kỳ hạn
